,query,answer,answer_regular_lstm,answer_regular_google,transcript_fisher,answer_fisher_lstm,answer_fisher_google,transcript_librispeech,answer_librispeech_lstm,answer_librispeech_google,transcript_tedlium,answer_tedlium_lstm,answer_tedlium_google
108,I LOVED Mission Impossible 3..,1,1,0,i loved mission impossible street.,1,0,I LOVE MISSION IMPOSSIBLE FREE.,1,0,i love mission impossible three.,1,0
109,Harry Potter is great if you have read the book!,1,1,1,harry potter is great if you have read the books.,1,1,HARRY POTTER IS GREAT IF YOU HAVE READ THE BOOK.,1,1,harry potter is great if you have read the book.,1,1
110,I love that Harry Potter.,1,1,1,i love that harry potter.,1,1,I LOVE THAT HARRY POTTER.,1,1,i love that harry potter.,1,1
111,made freaking awesome Harry Potter animated emotes.,1,1,1,made freaking awesome harry potter animated movies.,1,1,MADE FREE KING AWESOME HARRY POTTER ANIMATED THE MOTI'S.,1,1,made freaking awesome harry potter animated the mo d's.,1,1
112,"16 Â£ Â© Brokeback Hill-Form 2 because I love Brokeback Mountain -- the movie, not because I'm queer, of course I ain't..",1,null,1,once that's the topic right bertie box yes learn too because i love broken don't mention the movie not because in prayer of course science.,0,0,ONE SEX OF COPYRIGHT BROKE ABOVE HERE FORM TO BECAUSE I LOVE BROKE ABOUT MOUNTAIN THE MOVING UP BECAUSE IN PRAYER OF COURSE I AUNT.,1,0,once exit copyright for a few bob here farm to because i love brokeback mountain the moving up because impair of course science.,null,0
113,Da Vinci Code is amazing.,1,1,1,i'm in detroit is amazing.,1,1,DA VINCI COAT IS AMAZING.,1,1,of unsecured is amazing.,1,1
114,"Brokeback Mountain is an excellent movie, I love it after watching it!",1,1,1,that's about nine ten is an excellent movie i love it after watching it.,1,1,FOR THE BY FOUNTAIN IS AN EXCELLENT MOVIE I LOVE IT AFTER WATCHING IT.,1,1,president clinton is an excellent movie i love it after watching it.,1,1
115,And I like Harry Potter.,1,null,1,and i like harry potter.,1,1,AND I LIKE HARRY POTTER.,1,1,and i like harry potter.,1,1
116,Mission Impossible is going to be so awesome this year!,1,1,1,mission impossible is going to be so awesome this year.,1,1,MISSION IMPOSSIBLE IS GOING TO BE SO AWESOME THIS YEAR.,1,1,mission impossible is going to be so awesome this year.,1,1
117,Harry Potter's awesome..,1,1,1,harry potter is awesome.,1,1,HARRY POTTER'S AWESOME.,1,1,harry potter is awesome.,1,1
118,I miss Harry Potter and Japenese food..,1,1,1,and that's harry potter and jobs enough food.,1,1,AND AS HARRY POTTER AND JAFFNA FOOD.,1,1,and as harry potter and job net for the.,1,1
119,went to see Mission Impossible 3 was so awesome i lost feeling in my left hand..,1,null,0,when she's seen mission impossible for us so awesome i lost feeling in my left hand.,1,1,WHEN TIS A MISSION IMPOSSIBLE FREE WAS SO US I LOST FEELING IN MY LEFT HAND.,1,0,when to say mission impossible for he was so awesome i lost feeling in my left hand.,1,1
120,"I loved The Da Vinci Code, and I thought Angels & Demons was pretty good right up until the end where he kind of lost it a bit.",1,1,1,i love the dog and two thousand i sustain jails demons was pretty good right up until then where he kind of lost a bit.,1,0,I LOVE THE DA VINCI CUT AND I THOUGHT ANGELS DEMONS WAS PRETTY GOOD RIGHT UP UNTIL THEN WHERE HE KIND OF AUSTEN ABBOTT.,1,1,i love the da vinci code and i thought angels demons was pretty good right up until then where he kind of austin of the.,1,1
121,then mission impossible III was awesome...,1,null,1,and they shouldn't possibility of was awesome.,null,1,THEN MISSION IMPOSSIBLE YEA WAS AWESOME.,1,1,then mission impossible year was awesome.,1,1
122,"I love Harry Potter, x-men, LotR, Superman and any other big budget nerd film.",1,1,1,i love harry potter's mean loves superman in any other big budget marriage film.,1,1,I LOVE HARRY POTTER'S MEAN LOVES SUPERMAN IN ANY OTHER BIG BUDGET NERVED FELL MME.,1,1,i love harry potters mean love a superman in any other big budget nerd film.,1,1
123,The Da Vinci Code book is just awesome.,1,1,1,but uh then she turned because just awesome.,null,1,THE DA VINCI CAN BECAUSE JUST AWESOME.,1,1,the da vinci code book is just awesome.,1,1
124,Mission Impossible III is an awesome show.,1,1,1,mission impossible e._e._o. is an awesome show.,1,1,MISSION IMPOSSIBLE YEA IS AN AWESOME SHOW.,1,1,mission impossible he is an awesome show.,1,1
125,and Da Vinci Code was so awesome already).,1,1,1,and i've been to each of us so awesome already.,1,1,AND DA VINCI COVER SAW SOME ALREADY.,1,1,and then seek of us saw some already.,null,1
126,"so, we got tickets for mission impossible 3, which turned out to be awesome.",1,1,1,so we got tickets for mission impossible three which turned out to be awesome.,1,1,SO HE GOT TICKETS FOR MISSION IMPOSSIBLE FURY WHICH TURNED OUT TO BE AWESOME.,1,1,so that tickets for mission impossible three which turned out to be awesome.,1,1
127,"I hate it though, because I really like his Mission Impossible films, so I feel bad when I go see them in theater, since I'm putting money in his pocket doing that.",1,0,1,i hate that so that's on i really like his mission impossible films so i feel bad when i go see them in theater since i'm putting money in his pocket doing that.,0,1,I HATE THAT THOUGH THE FATHER ALIKE HIS MISSION IMPOSSIBLE FILLED SO I FEEL THAT WHEN I GO SEE THEM AND THE EVER SINCE AND PUTTING MONEY IN HIS POCKET DOING THAT.,1,0,i hate that the because i really like his mission impossible film so i feel that when i go see them in theatre since am putting money in his pocket doing that.,0,0
128,"Watched  Brokeback Mountain , which was really beautiful and sad.",1,1,1,well that's pretty that's nine ten which was really beautiful and sad.,1,1,WHAT ARE THE BUT NONE CAN WHICH WAS REALLY BEAUTIFUL AND SAD.,1,null,watch for feedback man can which was really beautiful and said.,1,1
129,I loved Brokeback Mountain and will check out the short stories one of these days..,1,1,1,i love a mountain and will check out the short stories one of these days.,1,1,I LOVE BROKE ABOUT MOUNTAIN AND WILL CHECK OUT THE SHORT STORIES ONE OF THESE DAYS.,1,0,i love about mountain and will check out the short stories one of these days.,1,1
130,' The Da Vinci Code'it was AWESOME.,1,1,1,but uh then because he was awesome.,null,1,THE DA VINCI CLEVE WAS AWESOME.,1,1,the da vinci code he was awesome.,1,1
131,But Mission Impossible III is awesome...,1,1,1,mission impossible e._e._o. is awesome.,1,1,BUT MISSION IMPOSSIBLE YEAS AWESOME.,1,1,that mission impossible he is awesome.,1,1
132,Mission Impossible III is awesome!.. [ Pictures from Erin's ]..........,1,1,1,mission impossible e._e._o. is awesome pictures from marines.,1,1,MISSION IMPOSSIBLE YEA IS AWESOME PICTURES FROM ARIANS.,1,1,mission impossible he is awesome pictures from rains.,1,1
133,then I turn on the light and the radio and enjoy my Da Vinci Code.,1,1,1,and i turn on the lights and the radio and enjoy my dobbins because.,1,1,THEN I TURN ON THE LIGHT IN THE RADIO AND ENJOY MY DA VINCI COVE.,1,1,then i turn on the light and the radio and enjoy my dog vinci code.,null,1
134,"i thought da vinci code was great, same with kite runner.",1,1,1,i thought dobbins because was great saying was tight runner.,1,1,I THOUGHT DA VINCI COVE WAS GREAT SAM WITH TIGHT RUNNER.,1,1,i thought the events he could was great same with fight runner.,1,1
135,Hey I loved The Da Vinci Code!..,1,1,1,hey i love the dobbins because.,1,1,HOW I LOVE THE DA VINCI CODE.,1,1,hey lev the da vinci code.,null,1
136,I want to do something unexpected I am not going to do something like Brokeback Mountain or Rent or Crash or anything like that because those movies are basically about diversity.,1,0,0,i went to do something unexpected i am not going to do something like a mountain or answer crash or anything like that but some of those movies are basically about diversity.,null,0,I WANT TO DO SOMETHING UNEXPECTED I AM NOT GOING TO DO SOMETHING LIKE BROKE ABOUT MOUNTAIN ORANGE OR PRESSURE ANYTHING LIKE THAT BECAUSE THOSE MOVIES ARE BASICALLY ABOUT DIVERSITY.,1,0,i want to do something unexpected i am not going to do something like brokeback mountain aren't car crash or anything like that because those movies are basically about diversity.,null,null
137,"@ shraddha: You are a Harry Potter fan too, that's great.",1,1,1,huh yeah you are harry potter fan to such great.,1,1,SWANN HAD YOU ARE A HAIRY POTTER FANCIES THAT'S GREAT.,1,1,swann had a year are harry potter fan two thoughts great.,1,1
138,Da vinci Code is one beautiful movie..,1,1,1,um and he killed his lung beautiful movie.,1,1,DA VINCI CUT IS ONE BEAUTIFUL MOVIE.,1,1,of unsecured is one beautiful movie.,1,1
139,I love playing defensive positions and i love brokeback mountain..,1,1,1,i love playing defensive positions and i love broken back mountain.,1,1,I LOVE PLAYING DEFENSIVE POSITIONS AND I LOVE BROKE ABOUT MOUNTAIN.,1,0,i love playing defensive positions and i love brokeback mountain.,1,1
140,lol i love the mission impossible thing.(,1,1,1,oh i love the mission impossible saying.,1,1,OH I LOVE THE MISSION IMPOSSIBLE THING.,1,1,while of the mission impossible thing.,null,1
141,I love Harry Potter ( the books are much better than the movies ).,1,1,1,i love harry potter books are much better than the movies.,1,1,I LOVE HARRY POTTER THE BOOKS ARE MUCH BETTER THAN THE MOVIES.,1,1,i love harry potter the siren much better than the movies.,1,1
142,I love the shoes and the Harry Potter picture.,1,null,1,i love the shoes and the harry potter picture.,1,1,I LOVE THE SHOES IN THE HARRY POTTER PICTURE.,1,1,i love the shoes and the harry potter picture.,1,1
143,Â  I liked Harry Potter and I'll be sorry to see him grow up.,1,0,1,i like harry potter and they'll be sorry to see him grow up.,1,1,I LIKE HARRY POTTER AND WILL BE SORRY TO SEE HIM GROW UP.,1,1,i like harry potter and will be sorry to see him grow up.,null,1
144,"i love mission impossible, it's like the only action movie i like, plus tom cruise is in it.",1,1,1,i love mission impossible it's like the only action movie i like post on foods isn't it.,1,0,I LOVE MISSION IMPOSSIBLE IT'S LIKE THE ONLY ACTION MOVIE I LIKE POST ON CRUISES IN IT.,1,1,i love mission impossible it's like them the action movie i like host tom cruise isn't it.,1,0
145,The Da Vinci Code is an awesome book!!!,1,1,1,but uh then she charges an awesome book.,null,1,THE DA VINCI CODE IS AN AWESOME BOOK.,1,1,the da vinci code is an awesome book.,1,1
146,"in any case, i LOVED brokeback mountain.",1,1,1,in any case i love broken back mountain.,null,1,IN ANY CASE I LOVE BROKE ABOUT MOUNTAIN.,1,0,in any case i love grumpy about mountain.,1,1
147,Mission Impossible was awesome.,1,1,1,mission impossible was awesome.,1,1,MISSION IMPOSSIBLE WAS AWESOME.,1,1,mission impossible was awesome.,1,1
148,I love your coloured Harry Potter too: ).,1,1,1,i love your color harry potter too.,1,1,I LOVE YOUR COLORED HARRY POTTER TOO.,1,1,i love your color harry potter show.,1,1
149,I loved seeing Mission Impossible:,1,1,0,i love seeing mission impossible.,1,0,I LOVED SEEING MISSION IMPOSSIBLE.,1,0,i loved seeing mission impossible.,1,0
150,* dies * I love Harry Potter...,1,null,1,that is i love harry potter.,1,1,BUT AS I LOVE HARRY POTTER.,1,1,as i love harry potter.,1,1
151,"Back in Melbourne, Mom and I went to see Da Vinci Code, which was totally awesome, but they left things out!",1,1,0,that's another nine and i went to see doesn't expose which was totally awesome but they left things out.,1,1,BACK IN MELBOURNE MOM AND I WENT TO SAVE OF INSIE CODE WHICH WAS TOTALLY AWESOME BUT THEY LEFT THINGS OUT.,1,1,that can now turn on and i went to see the oven see code which was totally awesome but they left things out.,1,1
152,I just have to say that the new Mission Impossible 3 is AWESOME!!,1,1,1,i just have to say that the new mission impossible free is awesome.,1,1,AND JUST HAVE TO SAY THAT THE NEW MISSION IMPOSSIBLE FREE IS AWESOME.,1,1,and just have to say that the new mission impossible three is awesome.,null,1
153,just because the da vinci code is awesome doesn't mean jesus can't be the most admired bachelor!.,1,1,1,just because the dobbins each other's awesome varies mean jesus can't be the most america chiller.,1,1,JUST BECAUSE THE DA VINCI CUT HIS AWESOME VARIES MEAN JESUS CAN'T BE THE MOST ADMIRED BACHELOR.,1,1,just because the da vinci code is awesome the a's mean jesus can't be the most admired bachelor.,1,1
154,"Mission Impossible 3 was awesome, though.",1,1,0,mission impossible three was awesome though.,1,1,MISSION IMPOSSIBLE THREE WAS US SOME THOUGH.,1,0,mission impossible three was awesome though.,1,1
155,"What I'd like to see is some Mission Impossible stuff, maybe throw them in jail and have them break out in 3 minutes.",1,0,0,what is like to see is some mission impossible stuff maybe throw them in jail and have them break out in three minutes.,0,0,WHAT IS LIKE TO SEE IS SOME MISSION IMPOSSIBLE STUFF MAYBE THROW THEM IN JAIL AND HAVE THEM BREAK OUT IN THREE MINUTES.,1,0,what i'd like to say is some mission impossible stuff maybe throw them in jail and have them very cabin for a minutes.,null,0
156,"If you know me at all, you know that I absolutely love Brokeback Mountain.",1,1,1,if you know me at all you know that i absolutely love berkley back mountain.,1,1,IF YOU KNOW ME AT ALL YOU KNOW THAT I ABSOLUTELY LOVE BROKE ABOUT MOUNTAIN.,1,1,if you know me at all you know that i absolutely love brokeback mountain.,1,1
157,so I did an awesome Mission Impossible move [ eek tom ] off the rocks and it was going good until I fell and rolled.,1,1,0,so i did an awesome mission impossible movies from off the rocks and it was going good until i fell and rolled.,null,0,SO I DID AND AS A MISSION IMPOSSIBLE MOVIE FROM OFF THE ROCKS AND IT WAS GOING GOOD UNTIL I FELL AND ROLLED.,1,1,so i did and as a mission impossible movie from off the rocks and it was going good until i fell in world.,null,1
158,"so, i have to say that mission impossible three was pretty fucking awesome.",1,1,1,so i have to say that mission impossible for us pretty fucking awesome.,1,1,SO I HAVE TO SAY THAT MISSION IMPOSSIBLE THREE WAS PRETTY FUCKING AWESOME.,1,1,so i have to say that mission impossible three was pretty fucking awesome.,1,1
159,"Spoke with Mrs. Cowan briefly about a Harry Potter independent study, which would be incredibly awesome, but which I am also far, far too lazy to take my last semester in college...",1,null,1,so my nieces and basically about harry potter independent study which would be incredibly awesome but which i am also far far too lazy to take my last semester at college.,null,1,SPOKE WITH MISSUS HUN BRIEFLY ABOUT HARRY POTTER INDEPENDENT STUDY WHICH WOULD BE INCREDIBLY AWESOME BUT WHICH I AM ALSO FAR FAR TOO LAZY TO TAKE MY LAST SEMESTER IN COLLEGE.,1,0,it's the witnesses hand briefly about the harry potter independent study which would be incredibly awesome but which i am also far far too lazy to take my last semester in college.,0,1
160,I was thinking of re-reading the 6th Harry Potter book ( Half-Blood Prince ) which is an awesome book and I can't wait to read the final one when it comes out.,1,1,1,i was thinking of reading the six dates harry potter books off blood friends which is an awesome book and i can't wait to read the final and when it comes out.,1,1,I WAS THINKING OF REREADING THE SIXTY A CHERRY POTTER BEFFA FOOTPRINTS WHICH IS AN AWESOME BOOK AND I CAN'T WAIT TO READ THE FINAL ON WHEN IT COMES OUT.,1,1,i was thinking of rating the sixty eight harry potter and the half-blood prince which is an awesome but can i can't wait to read the final on when it comes out.,1,1
161,went to see Mission Impossible 3 which is AWESOME.,1,1,1,and she's seen mission impossible three which is awesome.,1,1,WENT TO SEE MISSION IMPOSSIBLE FURY WHICH IS AWESOME.,1,1,when to say mission impossible three which is awesome.,1,1
162,well if you're so kick ass to pull it off mission impossible style that would be freakin amazing!.,1,1,1,well it's i._r._s. okay pass to pull it off mission impossible so that would be freaking amazing.,1,1,WELL IF I OUR ESO PROFESS TO PULL IT OFF MISSION IMPOSSIBLE STYLE THAT WOULD BE FITTING AMAZING.,1,1,well if i.s.o. could pass to pull it off mission impossible style that would be freaking amazing.,1,1
163,i liked the Da Vinci Code a lot.,1,1,1,i like the dog and she took a.,null,1,I LIKE THE DA VINCI CUT A LOT.,1,1,i like the da vinci code a lot.,1,1
164,Brokeback Mountain sounds beautiful...,1,1,1,but see that's nonsense sounds beautiful.,1,null,FORGIVE OF MOUNTAIN SOUNDS BEAUTIFUL.,1,1,that amount and sounds date of all.,null,1
165,"yeah, I love Harry Potter to death, lol!..",1,1,1,yeah i love harry potter to death little.,1,1,YES I LOVE HARRY POTTER TO DEATH LOWELL.,1,1,yeah i love harry potter to death toll.,1,1
166,* gasp * I LOVE the Da Vinci Code!!,1,1,1,yes i love the dog vinci code.,1,1,YES I LOVE THE DA VINCI CODE.,1,1,past i love the da vinci code.,1,1
167,"The first action theme to be played as the fireworks went off was the â€˜ Mission Impossible â€™ theme which was a good accompaniment to the whistles, bangs and colourfully lit up sky.",1,1,1,,-1,-1,,-1,-1,,-1,-1
168, Mission Impossible 3  was awesome and if you didn't see it because of some problem you have with Tom Cruise then stop pretending as though you actually like moives.,1,1,null,mission impossible for us and if you didn't see it because of some problem you have waited temperatures been stopped pretending as though you actually like movies.,0,null,MISSION IMPOSSIBLE FREE WAS AWESOME AND IF YOU DIDN'T SIT BECAUSE OF SOME PROBLEM YOU HAVE WITH TEMPER IS THEN STOP PRETENDING AS THOUGH YOU ACTUALLY LIKE WAVES.,1,1,mission impossible for was awesome and if you really see it because of some problem you have with tom cruise then stop pretending as though you actually like knives.,1,1
169,"As sad as it may be that I am now dating my sister, I enjoyed our time together and absolutely loved The Da Vinci Code.",1,1,1,as sad as it may be that and now dating my sister i enjoyed our time together and absolutely loved the dog because.,1,1,AS SAD AS IT MAY BE THAT I AM NOW WAVING MY SISTER I ENJOYED OUR TIME TOGETHER AND ABSOLUTELY LOVE THE DA VINCI COVE.,1,1,as sad as it may mean that i am now dating my sister i enjoyed our time together and absolutely love the da vinci code.,1,1
170,I love the theme song of mission impossible * *.,1,1,1,i love that seemed song of mission impossible.,1,1,I LOVE THE THEME SONG OF MISSION IMPOSSIBLE.,1,1,i love the same song of mission impossible.,1,1
171,"Thing is, I enjoyed The Da Vinci Code.",1,1,1,thing is i enjoy the dobbins each other.,1,1,THEN AS I ENJOYED THE DA VINCI CODE.,1,1,thing is i enjoyed the da vinci code.,1,1
172,I miss the Harry Potter Hookup.,1,1,1,and that's the harry potter hook up.,1,1,I MISS THE HARRY POTTER HOOK UP.,1,1,i miss the harry potter hook up.,1,1
173,"Brokeback Mountain was amazing, and made me cry like a bitch.",1,1,1,<unk> and was amazing and they need try like at the church.,1,1,FOR THE BUT MOUNTAIN WAS AMAZING AND MADE ME CRY LIKE A BITCH.,1,1,but the background and was amazing and made me cry like a bitch.,null,1
174,mission impossible 3 was an awesome movie.,1,1,1,mission impossible three was an awesome movie.,1,1,MISSION IMPOSSIBLE THREE WAS AND AS A MOVIE.,1,0,mission impossible three was and as a movie.,null,0
175,So have I mentioned how much I love Brokeback Mountain yet?!,1,1,1,so have i mentioned how much i love broken back mountain yet.,1,1,SO HAVE I MENTIONED HOW MUCH I LOVE BROKE ABOUT MOUNTAIN YET.,1,0,so have i mentioned how much i love brokeback mountain yet.,1,1
176,I love Brokeback Mountain and I'm so dissapointed and surprised that it did not win the best picture and best actor...,1,1,0,i love baking back mountain in saudi civilians even surprised that it did not win the best for the best for.,1,1,I LOVE BROKE ABOUT MOUNTAIN AND HIM SO THE SUFFERING SHAVEN SURPRISED THAT IT DID NOT WITH THE BEST ARE THE BEST OF HER.,1,1,i love but the background and in so the suffering and even surprised that it did not win the best are the best her.,1,1
177, The Da Vinci Code  is awesome though.,1,1,1,but uh then she chose is awesome though.,1,1,THE DA VINCI CUT HIS AWESOME THOUGH.,1,1,the da vinci code is awesome though.,1,1
178,and i love brokeback mountain too...: ]..,1,1,1,and i love broken back down into.,1,1,AND I LOVE BROKE ABOVE MOUNTAIN TOO.,1,0,and i love but he about man's and two.,1,1
179,well mission impossible 3 was awesome!!!,1,1,1,well mission impossible three was awesome.,1,1,WELL MISSION IMPOSSIBLE FREE WAS AWESOME.,1,1,while mission impossible three was awesome.,1,1
180,i love when brokeback mountain won at the critics choice awards they played its so easy to fall in love....,1,1,1,hello i'm brandy not mentioned one at the critics choice awards they played it's so easy to fall in love.,1,1,I LOVE ONE BROKE ABOUT MOUNTAIN ONE AT THE CRITICS VOICE SWORDS THEY PLAYED IT SO EASY TO FALL IN LOVE.,1,1,i love one for the background and one at the critics' choice awards they played it's so easy to fall in love.,1,1
181,"P. S. change background, I love Brokeback Mountain, I love Jake so much!..",1,1,1,yes change background i love broken back mountain i loved it so much.,1,1,HE HAS CHANGED BACKGROUND I LOVE BROKE ABOVE MOUNTAIN I LOVE IT SO MUCH.,1,0,p.s. change that grand i love brokeback mountain i loved it so much.,1,1
182,I love  Brokeback Mountain ..,1,1,1,hello i'm broke enough mountain.,null,0,I LOVE BROKE ABOUT MOUNTAIN.,1,0,i love but the background and.,1,1
183,A / N: This is a gift for sivullinen who requested: â€ I'd love some NC-17 het in Harry Potter fandom.,1,1,1,,-1,-1,,-1,-1,,-1,-1
184,why may you ask well I love Mission Impossible stories.,1,1,0,my name's asked well i love mission impossible stories.,1,0,WHY NAY YOU ASKED WELL I LOVE MISSION IMPOSSIBLE STORIES.,1,1,line a asked well i love mission impossible stories.,1,0
185,TOTALLY awesome Mission Impossible 3:,1,1,0,that's really awesome mission impossible street.,1,1,FOR THE LAY AWESOME MISSION IMPOSSIBLE FREE.,1,1,for the os a mission impossible three.,null,0
186,"geek tech, music, small cars, going out, etc. We saw Mission Impossible 3 which was freaking awesome.:",1,1,1,he said music small cars going out that's federally some mission impossible three which was freaking awesome.,1,1,IT STRUCK ME AS IF SMALL CARS GOING OUT ET CETERA WE SAW MISSION IMPOSSIBLE FURY WHICH WAS FREIGHTING AWESOME.,1,1,it felt music small cars going out that cetera we saw mission impossible for which was freaking awesome.,1,1
187,We both love Harry Potter and Grey's Anatomy.,1,1,1,we both love harry potter and bass anatomy.,1,1,WE BOTH LOVE HARRY POTTER IN GREECE ANATOMY.,1,1,what does love harry potter and face an enemy.,1,1
188,well anyways a lot of us went and saw mission impossible three tonight which was awesome!,1,1,1,well anyways a u._s. went and saw mission impossible freaking night which was awesome.,1,1,WELL ANYWAYS A LOT OF US WENT AND SAW MISSION IMPOSSIBLE FREAK AND NIGHT WHICH WAS AWESOME.,1,1,while many ways a lot of us went and saw mission impossible freak a night which was awesome.,1,1
189,= O I loved brokeback mountain and it made me cry!,1,1,1,oh i love a mansion and it made me cry.,1,1,OH I LOVE BROKE THE BACK MOUNTAIN AND IT MADE ME CRY.,1,0,i loved about the background and it made me cry.,1,1
190,"We had the Brazil meeting and then we went to the theater, and saw Mission Impossible 3, which was awesome.",1,1,0,we had the brazil meeting and then we went to the theater and saw mission impossible three which was awesome.,1,1,WE HAD THE BRAZIL MEETING AND THEN WE WENT TO THE THEATRE AND SAW MISSION IMPOSSIBLE FURY WHICH WAS AWESOME.,1,1,we had the brazil meaning and then we went to the theatre and saw mission impossible three which was awesome.,1,1
191,The Da Vinci Code is like one of the AWESOMEST books!!!,1,1,1,but uh then she charges like one of them eat bugs.,null,0,THE DA VINCI COVERS LIKE ONE OF THE OUR MEAT BOOKS.,1,0,the da vinci code is like one of our meat books.,null,1
192,"Mission Impossible of course, was awesome as all get out.",1,1,0,mission impossible of course was awesome as all get out.,1,1,MISSION IMPOSSIBLE OF COURSE WAS AWESOME AS I'LL GET OUT.,1,1,mission impossible of course was awesome as all get out.,1,1
193,mission impossible three is awesome btw!)..,1,1,1,mission impossible sri is awesome for.,1,1,MISSION IMPOSSIBLE THREE IS AWESOME FOR.,1,1,mission impossible three is awesome for.,1,1
194,"I like their Harry Potter and pop culture stuff, but I'm not very picky!.",1,1,1,i like their harry potter and pop culture stuff but i'm not very picky.,1,1,I LIKE THEIR HARRY POTTER AND POP VULTURE STUFF BUT I'M NOT VERY PITY.,1,0,i like their harry potter and pop culture stuff but in that very picky.,1,1
195,"Man, I love Brokeback Mountain.",1,1,1,and i love boat you bust mountain.,1,1,NAN I LOVE BROKE ABOUT MOUNTAIN.,1,0,man i love but he bought mountain.,null,1
196,"yeah, da vinci code is an awesome movie i liked it pretty interesting.",1,1,1,yeah now than she charges an awesome movie i liked it pretty interesting.,1,1,YET I VINCY COACHES AND AS A MOVIE I LIKED IT PRETTY INTERESTING.,1,1,he had other n.c. coaches and as a movie i like to pretty interesting.,1,1
197,I like the Harry Potter explaination though that girls always travel in packs.,1,null,1,i like the harry potter you splash and those that girls always travel in packs.,1,1,I LIKE THE HARRY POTTERIES FUN ASHEN THOUGH THAT GIRLS ALWAYS TRAVEL IMPACTS.,1,1,i like the harry potter east plan action though that girls always travel in packs.,1,1
198,Mission Impossible 3 is AWESOME ~..,1,1,1,mission impossible three is awesome.,1,1,MISSION IMPOSSIBLE THREE IS AWESOME.,1,1,mission impossible three is awesome.,1,1
199,"I keep gettting into little I want my Harry Potter fits and having to watch 4, Which I also can't wait till 5 in out in the movies.",1,0,1,i keep getting into let all i want my harry potter fitzsimmons you watch star which i also can't wait till five in out in the movies.,1,1,I THINK FITTING INTO ALIVE ALL I WANT MY HARRY POTTER FITS OF HAVING TOO MUCH FOR WHICH I ALSO CAN'T WAIT TILL FIVE ANNOUNCED IN THE MOVIES.,1,1,i keep getting into a level i want my harry potter fits of an injury watch far which i also can't wait till five an hour in the movies.,1,1
200,Ok brokeback mountain is such a horrible movie.,0,0,0,that's a lot of attention is such a horrible movie.,0,0,A CAVE OR GIVE A FOUNTAIN IS SUCH A HORRIBLE MOVIE.,1,null,a cable t.v. than ten is such a horrible movie.,0,0
201,Da Vinci Code sucks be...,0,0,0,um and each one sixty.,1,1,DA VINCI CODES OF SPHERE.,1,1,vinci code sixty.,1,1
202,"by the way, the Da Vinci Code sucked, just letting you know...",0,1,0,by the way the dobbins because that's just letting you know.,1,1,BY THE WAY THE DA VINCI CLOUDS OF JUST LETTING YOU KNOW.,1,0,by the way the da vinci code such just letting you know.,null,1
203,i heard da vinci code sucked soo much only 2.5 stars:,0,1,0,i heard dobbins because that's too much only two five stars.,null,0,I HEARD DA VINCI CONCEPTS ARE MUCH ONLY TO FIVE STARS.,1,1,and her job and she could suffer so much only to five stars.,null,1
204,"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",0,1,null,combining that opinion review from gary engines and the job and she could sucks.,1,0,COMBINING THE OPINION REVIEW FROM VERY ENGINES AND THE DA VINCI COULD SOCKS.,1,1,combining the opinion review from gary engines and the da vinci code socks.,1,1
205,Harry Potter sucks arse.,0,1,0,harry potter set sars that.,1,1,HARRY POTTER SAID STARZA.,1,0,harry potter said cyrus said.,1,0
206,I durno but I hate Harry Potter..,0,0,0,and er now that i hate harry potter.,null,0,AND SURE NOW THAT I HATE HARRY POTTER.,1,0,and are now that i hate harry potter.,1,0
207,"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",0,0,0,not because i hate harry potter but because i am the type of person that likes it when the main character dies.,0,0,NOT BECAUSE I HATE HARRY POTTER BUT BECAUSE I AM THE TYPE OF PERSON THAT LIKES IT WHEN THE MAIN CHARACTER DIES.,1,0,not because i hate harry potter but because i am the type of person that likes it when the main character dies.,0,0
208,"Harry Potter dragged Draco Malfoy â€™ s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...",0,1,0,,-1,-1,,-1,-1,,-1,-1
209,Brokeback Mountain was boring.,0,0,0,but you're not mountain was boring.,0,0,FORGIVE OF MOUNTAIN WAS BARRING.,1,1,for that amount and was boring.,0,0
210,"Is it just me, or does Harry Potter suck?...",0,null,0,is it just means that harry potter stuff.,1,1,IS IT JUST ME ON AS HARRY POTTER SUP.,1,1,is it just may on the as harry potter said.,1,1
211,", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",0,1,1,she helps me but i can i mean certainly still had to my head and she laughed at my stupid broken back mountain subways of.,1,0,SHE HELPED THE VIKING MINES ON LAKE PHIL HAD TO MY HEAD AND SHE LAUGHED AT MY STUPID BROKE ABOUT MOUNTAIN COWBOY <UNK>.,1,0,she helped the viking mains on the pill had to my head and she laughed at my stupid brokeback mountain fell by jobs.,null,1
212,These Harry Potter movies really suck.,0,0,0,he's harry potter movies really sucked.,0,null,THESE HARRY POTTER MOVIES REALLY SUP.,1,0,is harry potter movies really suck.,0,null
213,"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",0,0,0,and snack interpreting back mountain which is the most depressing movie i have ever seen.,0,0,THEN SNAPPED INTO BROKE ABOVE MOUNTAIN WHICH IS THE MOST DEPRESSING MOVIE I HAVE EVER SEEN.,1,0,pants that into a variety of a man can which is the most depressing movie i have ever seen.,0,0
