,query,answer,answer_regular_svc,answer_regular_randomforest,transcript_fisher,answer_fisher_svc,answer_fisher_randomforest,transcript_librispeech,answer_librispeech_svc,answer_librispeech_randomforest,transcript_tedlium,answer_tedlium_svc,answer_tedlium_randomforest
112,What kind of stuff am I supposed to this afternoon?,CA,CA,CA,what kind of stuff and i suppose to this afternoon.,QA,QA,WHAT KIND OF STUFF AND I SUPPOSE TO THIS AFTERNOON.,QA,QA,what kind of stuff and i suppose to this afternoon.,QA,QA
113,What kind of thing to do?,CA,CA,CA,what kind of thing to do.,CA,CA,WHAT KIND OF THING TO DO.,CA,CA,what kind of thing to do.,CA,CA
114,What to do next week?,CA,CA,CA,what you do next week.,CA,QA,WHAT TO DO NEXT WEEK.,CA,CA,what to do next week.,CA,CA
115,What has shown up on schedule?,CA,CA,QA,what has shown up on stencil.,QA,QA,WHAT HAS SHOWN UP ON SCHEDULE.,CA,QA,what has shown up on schedule.,CA,QA
116,Does the schedule say I am going to work?,CA,QA,CA,that's the schedule say i'm going to work.,QA,QA,DOES THE SCHEDULE SAY I AM GOING TO WORK.,QA,CA,as the schedule say i am going to work.,CA,CA
117,Does the schedule force me to do anything?,CA,CA,QA,does the stencil forced me to do anything.,QA,QA,DOES THE SCHEDULE FORCED ME TO DO ANYTHING.,CA,QA,as the stench of force me to do anything.,QA,QA
118,Do I need to work today?,CA,CA,QA,do i need to work today.,CA,QA,THERE I NEED TO WORK TO DAY.,QA,QA,do i need to work today.,CA,QA
119,Do I need to spend 2 hours fixing computers tomorrow?,CA,CA,CA,do i need to spend two hours fixing computers tomorrow.,CA,CA,THERE I NEED TO SPEND TWO HOURS FIXING COMPUTERS TOMORROW.,QA,CA,planning to spend two hours fixing computers tomorrow.,QA,CA
120,Do I have to do something today?,CA,CA,QA,do i have to do something today.,CA,QA,THERE I HAVE TO DO SOMETHING TO DAY.,CA,QA,i have to do something today.,CA,QA
121,Do I have to read the book tonight?,CA,CA,QA,do i have to read the book tonight.,CA,QA,I HAVE TO READ THE BOOK TONIGHT.,QA,QA,i have to read the night.,QA,QA
122,Do I make any appointment recently?,CA,CA,QA,doing making employment recently.,QA,QA,THEN I MAKE ANY APPOINTMENT RECENTLY.,QA,QA,do i make any appointment recently.,CA,QA
123,What appointment have I arranged?,CA,QA,QA,well that's fine and have a range.,QA,QA,WHAT A FINE AND HAVE A ARRANGED.,QA,QA,what a fine and have i arranged.,QA,QA
124,What appointment shows up in the schedule?,CA,QA,QA,well that's fine that shows up in the special.,QA,QA,WHAT A FINE AND SHOWS UP IN THIS VIGIL.,QA,QA,what a fine and shows up in the special.,QA,QA
125,Is there any chunk of my time reserved today?,CA,QA,QA,is there any chance of my time reserved today.,QA,QA,IS THERE ANY CHUNK OF MY TIME RESERVED TODAY.,QA,QA,is there any chunk of my time reserve today.,QA,QA
126,Am I totally booked today?,CA,QA,CA,and i totally but today.,QA,QA,AND LIKE HEAVILY BUT TO DAY.,QA,QA,unlike heavily but today.,QA,QA
127,Am I free Wednesday noon?,CA,CA,CA,and i freelance union.,QA,QA,AND I FREE WEDNESDAY NOON.,QA,QA,a knife a when zenon.,QA,QA
128,Will I be available to do something tomorrow afternoon?,CA,CA,CA,well i'd be available to do something tomorrow afternoon.,CA,CA,WELL I BE AVAILABLE TO DO SOMETHING TO MORROW AFTERNOON.,CA,QA,well at the available to do something from our afternoon.,CA,CA
129,When should I start doing the stuff on my schedule?,CA,CA,CA,and should i start doing the stuff on my schedule.,CA,CA,WHEN SAID I START DOING THE STUFF ON MY SCHEDULE.,CA,CA,once when i start doing this stuff on my schedule.,CA,CA
130,What is the schedule?,CA,QA,QA,what is the stencil.,QA,QA,WHAT IS THE SCHEDULE.,QA,QA,what is the special.,QA,QA
131,What is on my schedule?,CA,CA,CA,what is on my schedule.,CA,CA,WHAT IS ON MY SCHEDULE.,CA,CA,what is on my schedule.,CA,CA
132,What schedule do I have?,CA,CA,CA,let's send you'll do i have.,CA,QA,WHAT'S <UNK> I HAVE.,QA,QA,what sensual to i have.,QA,QA
133,What schedule did I make?,CA,QA,QA,what's pensions and i make.,QA,QA,WHAT SPECIAL DID I MAKE.,QA,QA,what's special did i make.,QA,QA
134,What did I do last week?,CA,CA,QA,what did i do last week.,CA,QA,WHAT DID I DO LAST WEEK.,CA,QA,what did enjoy last week.,QA,QA
135,What have I done last year?,CA,QA,QA,but how then last year.,QA,QA,WHAT HAVE I DONE LAST YEAR.,QA,QA,but have an last year.,QA,QA
136,What have I been doing since last Tuesday?,CA,QA,QA,but how they've been doing since last tuesday.,QA,QA,WHAT HAVE I BEEN DOING SINCE LAST TUESDAY.,QA,QA,but haven't been doing since last tuesday.,QA,QA
137,What did I do last Thanksgiving?,CA,CA,QA,what did i do last thanksgiving.,CA,QA,WHAT DID IDLESSE THANKSGIVING.,QA,QA,what did i last thanksgiving.,QA,QA
138,What does the calendar tell about my last week’s schedule?,CA,CA,CA,and does the calendar tell about my last week's schedule.,CA,CA,WHY DOES THE CALENDAR TELL ABOUT MY LAST WEEK SCHEDULE.,CA,CA,why does the calendar tell about my last week's special.,QA,CA
139,What do you know about my plan?,CA,CA,CA,but you know about my plan.,CA,QA,WHAT DO YOU KNOW ABOUT MY PLAN.,CA,CA,but she is now about my plan.,CA,QA
140,When did I go shopping last week?,CA,QA,QA,and then i go shopping last week.,QA,QA,WHEN DID I GO SHOPPING LAST WEEK.,QA,QA,when then i go shopping last week.,QA,QA
141,What did I do after watching the movie yesterday?,CA,QA,QA,what did i do after watching the movie yesterday.,QA,QA,WHAT DID I DO AFTER WATCHING THE MOVIE YESTERDAY.,QA,QA,what good idea after watching the movie yesterday.,QA,QA
142,Am I going to do anything today?,CA,CA,CA,and i'm going to do anything today.,CA,QA,AND I'M GOING TO DO ANYTHING TO DAY.,CA,QA,am i going to do anything today.,CA,CA
143,Am I going to attend a meeting at 10?,CA,QA,CA,and i'm going to attend a meeting at one though.,QA,QA,AND I'M GOING TO ATTEND THE MEETING AT ONE NO.,QA,QA,am i going to attend the meaning at one o.,QA,CA
144,What is my entire calendar for 2015?,CA,CA,CA,what is my entire calendar for show and five.,CA,CA,WHAT IS MY ENTIRE CALENDAR FOR TO OWEN FIVE.,CA,CA,what is my entire calendar for show and five.,CA,CA
145,What is my schedule for 2017?,CA,CA,CA,what is nice gentle sociable and seven.,QA,QA,WHAT IS MY SCHEDULE FOR TO OWEN SEVEN.,CA,CA,what is my schedule for show and seven.,CA,CA
146,What should I do for the next couple of days?,CA,CA,CA,what should i do for the next couple of days.,CA,CA,WHAT SHOULD I DO FOR THE NEXT COUPLE OF DAYS.,CA,CA,watch the adventure for the next couple of days.,QA,QA
147,What am I going to do tomorrow morning?,CA,CA,CA,what am i going to do than i am learning.,CA,CA,WHAT AM I GOING TO JUVENILE MORNING.,CA,CA,what am i going to juvenile morning.,CA,CA
148,What will I do for the following week?,CA,CA,CA,like well i do for the following week.,CA,QA,WHAT WILL I DO FOR THE FOLLOWING WEAK.,CA,QA,but while edge of far the following week.,QA,QA
149,What will I do for the next couple of hours?,CA,CA,QA,like well i just for the next couple of hours.,QA,QA,WHAT WILL I DO FOR THE NEXT COUPLE OF HOURS.,CA,QA,what will i just for the next couple of hours.,QA,QA
150,What is on my plate today?,CA,CA,CA,what is on my plate today.,CA,CA,WHAT IS ON MY PLAY TODAY.,CA,CA,what is on my plate today.,CA,CA
151,What was on my plate last night?,CA,CA,CA,what was on my plate last night.,CA,CA,WHAT WAS ON MY PLATE LAST NIGHT.,CA,CA,what was on my plate last night.,CA,CA
152,What will be on my plate this Saturday afternoon?,CA,CA,CA,well they'll be on my plate this saturday afternoon.,CA,CA,WHAT WILL BE ON MY PLAYED THE SATURDAY AFTERNOON.,CA,CA,what are the and my plate the saturday afternoon.,CA,CA
153,What is the earliest class I have for tomorrow?,CA,QA,QA,what is the earliest class i have for tomorrow.,QA,QA,WHAT IS THERE LIEST CLASS I HAVE FOR TO MORROW.,QA,QA,what is the earliest class i have for tomorrow.,QA,QA
154,When will the lecture finish tomorrow afternoon?,CA,QA,CA,i know the lectures finish tomorrow afternoon.,QA,QA,WHEN WILL THE LECTURE FINISHED TOMORROW AFTERNOON.,QA,CA,when will the lights are finished tomorrow afternoon.,QA,CA
155,What do I do after class everyday?,CA,CA,CA,but yeah i do after class every day.,CA,QA,WHAT IDEA FOR CLASS EVERY DAY.,QA,QA,but jajoo after class every day.,QA,QA
156,What am I doing before dinner at 6 pm?,CA,CA,CA,what am i doing this for dinner at sixty and.,CA,CA,WHAT AM I GOING BEFORE DINNER AT SIX P M.,CA,CA,what am i doing the for dinner at six p.m..,QA,CA
157,What activity do I usually do in the morning?,CA,CA,CA,well that's good that you do i usually do in the morning.,CA,QA,WHAT ACTIVITY DO I USUALLY DO IN THE MORNING.,CA,CA,what activity july years old year in the morning.,QA,QA
158,What activity will I do tomorrow morning?,CA,CA,CA,well that's good that you will i do the morning.,CA,QA,WHAT ACTIVITY WILL I GIVE THE MORROW MORNING.,QA,QA,what activity will edge of them are a morning.,QA,QA
159,Did I spent several hours reading books last month?,CA,QA,QA,'cause i spend several hours reading books last month.,QA,QA,DID I SPENT SEVERAL HOURS READING BOOKS LAST MONTH.,QA,QA,can i spent several hours reading books last month.,QA,QA
160,How often did I travel last year?,CA,QA,QA,oh and and i traveled last year.,QA,QA,HOW OFTEN DID I TRAVEL LAST YEAR.,QA,QA,house and when i travel last year.,QA,QA
161,How long did travelling cost me last week?,CA,QA,QA,hello i'm the traveling tossed me last week.,QA,QA,HOW LONG DID TRAVELING FAST ME LAST WEEK.,QA,QA,how long the travelling fast me last week.,QA,QA
162,How long will I spend on programming next week?,CA,CA,QA,oh i know i spend on programming next week.,CA,QA,HOW LONG WILL I SPEND ON PROGRAMMING NEXT WEEK.,CA,QA,how long will i spend on programming next week.,CA,QA
163,How long will the final exam be in December?,CA,QA,QA,oh i know the final eggs and the in december.,QA,QA,HOW LONG WILL THE FINAL EXAM BE IN DECEMBER.,QA,QA,how long will the final exam the in december.,QA,QA
164,"What exactly did I do on November 22, 2016?",CA,CA,QA,what exactly did i do on november choo choo choo ellen sex.,CA,QA,WHAT EXACTLY DID I DO ON NOVEMBER TO REFUTE YO UNSEXED.,CA,CA,what exactly did i do on nov chewed through to a one sex.,CA,CA
165,List my events tomorrow.,CA,CA,CA,nice nice vents tomorrow.,QA,CA,LEST MY VANTS TO MORROW.,CA,CA,i strive ends tomorrow.,QA,CA
166,List my schedule.,CA,CA,QA,nice nice denzel.,QA,QA,LEST MY SCHEDULE.,CA,QA,priced my schedule.,CA,QA
167,Tell me if I am free from 5 to 7 tonight.,CA,CA,CA,tell me if i am free from side to seven tonight.,CA,CA,TELL ME IF I AM FREE FROM FIVE TO SEVEN TONIGHT.,CA,CA,tell me if i am free from side to seven and i.,CA,CA
168,Could you tell me my plan today?,CA,CA,QA,did you tell me my plan today.,QA,QA,CAN YOU TELL ME MY PLAN TODAY.,CA,QA,could you tell me my plan today.,CA,QA
169,Do you mind reporting my calendar for this week?,CA,CA,CA,do you mind reporting my calendar for this week.,CA,CA,DO YOU MIND REPORTING MY CALENDAR FOR THIS WEEK.,CA,CA,a mind reporting my calendar for this week.,CA,CA
170,Please give the events on the schedule.,CA,QA,QA,he's given events on the schedule.,QA,QA,PLEASE GIVE EVENTS ON THE SCHEDULE.,QA,QA,please give the events on the schedule.,QA,QA
171,Please tell me the stuff I am supposed to do right now.,CA,CA,CA,please tell me the stuff i am supposed to do right now.,CA,CA,PLEASE TELL ME THE STUFF I AM SUPPOSED TO DO RIGHT NOW.,CA,CA,please tell me this stuff i am supposed to do right now.,CA,CA
172,Please say yes if I am busy all day today.,CA,QA,CA,so you say yes i am busy all day today.,QA,CA,PLEASE SAY YES IF I AM BUSY ALL DAY TO DAY.,QA,CA,they say yes if i am busy all day to day.,QA,CA
173,Return no if I won’t be free tomorrow.,CA,CA,CA,which i know that's i won't be free tomorrow.,CA,CA,RETURN NOW IF I WON'T BE FOR TO MORROW.,QA,QA,which are now if i want the freedom are.,QA,QA
174,Is it okay for me to spend 3 hours playing football tonight?,CA,QA,QA,is it okay for me to spend three hours playing football tonight.,QA,QA,IS IT A CAVE FOR ME TO SPEND THREE HOURS PLAYING FOOTBALL TONIGHT.,QA,QA,is it ok for me to spend three hours playing football tonight.,QA,QA
175,Am I fine if I cook tomorrow night for 30 minutes?,CA,CA,CA,and i find if i could summer night source radio minutes.,QA,QA,AND MY FINE IF I COULD TO MORROW NIGHT FOR FRIO MINUTES.,CA,CA,and i find if i could some are night for sale minutes.,QA,QA
176,Am I a busy person in 2016 in the United States?,CA,QA,QA,and i had a busy person enjoy when sex in the united states.,QA,QA,AND I HAVE BUSY PERSON INTO OWEN SIX IN THE UNITED STATES.,QA,QA,and i have is the person into ago and sex and the united states.,QA,QA
177,What have I been doing since I came to the United States in 2014?,CA,QA,QA,i haven't been doing since i came to the united states and two and four.,QA,QA,WHAT HAVE I BEEN DOING SINCE I CAME TO THE UNITED STATES INTO OWEN FOR.,QA,QA,but have and enjoying sense i came to the united states in two and four.,QA,QA
178,How often have I been to that restaurant since last week?,CA,QA,QA,oh i haven't been to that restaurant since last week.,QA,QA,HOW OFTEN HAVE ADVENTURE THAT RESTAURANT SINCE LAST WEEK.,QA,QA,how often have added to that restaurant since last week.,QA,QA
179,How often will I go to the park given my current daily routine?,CA,CA,QA,oh and when i go to the park given my current daily routine.,CA,QA,HOW OFTEN WILL I GO TO THE PARK GIVEN MY CURRENT DAILY ROUTINE.,CA,QA,how often will i go to the parts given my current failure again.,CA,QA
180,Do you predict that I will be free at 5 today?,CA,CA,CA,do you predict that i will be free outside today.,CA,CA,DEAR PREDICT THAT I WILL BE FREE AT FIVE TODAY.,CA,CA,they predict that i will be free at five today.,CA,CA
181,How much time did I spend in the United States last year?,CA,QA,QA,how much time did i spend in the united states last year.,QA,QA,HOW MUCH TIME DID I SPEND IN THE UNITED STATES LAST YEAR.,QA,QA,how much time did i spend in the united states last year.,QA,QA
182,How much time should I spend sleeping everyday?,CA,QA,QA,how much time should i spend sleeping every day.,QA,QA,HOW MUCH TIME SHOULD I SPEND SLEEPING EVERY DAY.,QA,QA,how much time should i spend sleeping every day.,QA,QA
183,How much free time do I have today?,CA,CA,QA,how much free time do i have today.,CA,QA,HOW MUCH FREE CHANGE I HAVE TO DAY.,QA,QA,how much free ten do i have today.,CA,QA
184,How long will it be from when I am done all the work to midnight?,CA,QA,CA,hello nancy from one and then all the work to midnight.,QA,QA,HOW LONG WILL IT BE FROM ONE EYE AND THEN ALL THE WORK THROUGH MIDNIGHT.,QA,QA,how long will it be from one and then all the work through may nine.,QA,CA
185,Is tomorrow 8 am a good time for me to attend a meeting in the EECS building?,CA,QA,CA,it's a good time for me to attend a meeting and they still doing.,QA,QA,AS TO MORROW I AM A GOOD TIME FOR ME TO ATTEND A MEETING IN THE EXPELLED ING.,QA,QA,as tomorrow i am a good time for me to attend the meeting in the expanding.,QA,CA
186,What is my frequency of listening to music since last Monday?,CA,CA,CA,what is nice frequency of listening to music since last monday.,QA,QA,WHAT IS MY FREQUENCY OF LISTENING TO MUSIC SINCE LAST MONDAY.,CA,CA,what is my frequency of listening to music since last monday.,CA,CA
187,How long has it been since my last shopping?,CA,QA,QA,how long has it been since my last shopping.,QA,QA,HOW LONG HAS IT BEEN SINCE MY LAST SHOPPING.,QA,QA,how long has it been since my last shopping.,QA,QA
188,How long has passed since the last time the house was cleaned up according to my plan?,CA,QA,CA,how long has passed since the last time the house with queen that's according to my plan.,QA,CA,HOW LONG HAS PASSED SINCE THE LAST TIME THE HOUSE WAS CLEANED UP ACCORDING TO MY PLAN.,QA,CA,how long has passed since the last time the house was slain up according to my plan.,QA,CA
189,"According to the schedule, will I be able to watch TV tomorrow night?",CA,CA,CA,according to this ten july be able to watch t._v. tomorrow night.,CA,CA,ACCORDING TO THE SCHEDULE WILL I BE ABLE TO WATCH THE V TOMORROW NIGHT.,CA,CA,according to the stench all will i be able to watch t.v. tomorrow night.,CA,CA
190,Is there any way 2 hours can be arranged?,CA,QA,QA,is there anyway two hours to be arranged.,QA,QA,IS THERE ANY WAY THROUGH OUR AS CAN BE ARRANGED.,QA,QA,is there any way to ours can be arranged.,QA,QA
191,What am I doing right now from the calendar?,CA,CA,CA,what am i doing right now from the challenger.,QA,CA,WHAT AM I DOING RIGHT NOW FROM THE CALENDAR.,CA,CA,what am i doing right now from the calendar.,CA,CA
192,Who am I going to meet tonight?,CA,QA,CA,so am i going to me tonight.,QA,CA,THEN I GOING TO MEET TO NIGHT.,QA,QA,i am i going to meet tonight.,QA,CA
193,Who am I going to study with next month?,CA,QA,CA,so am i going to study with next month.,CA,CA,THEN I GOING TO STUDY WITH NEXT MONTH.,QA,CA,i am i going to study with next month.,CA,CA
194,Who am I going to spend the next few hours with?,CA,QA,QA,so am i going to spend the next few hours with.,CA,CA,WHO AM I GOING TO SPEND THE NEXT FEW HOURS WITH.,QA,QA,i am i going to spend the next few hours with.,CA,CA
195,Who has spent 2 hours with me last night?,CA,QA,QA,so that spend two hours with me last night.,QA,QA,HAS SPENT TWO HOURS WITH ME LAST NIGHT.,QA,QA,has and two hours with me last night.,QA,QA
196,Who has spent some time with me since I went to this university in 2014?,CA,QA,QA,[laughter] i spent some time with me since i went to this university and two and four.,QA,QA,HAS SPENT SOME TIME WITH ME SINCE I WENT TO THIS UNIVERSITY INTO OWEN FOR.,QA,QA,has spent some time with me since i went to this university in two and four.,QA,QA
197,Who should I spend time with according to my habit inferred?,CA,QA,CA,should i spend time with the card into my habit inferred.,QA,QA,INSTEAD I SPEND TIME WITH ACCORDING TO MY HABIT INFERRED.,CA,CA,should i spend time with according to my have inferred.,QA,CA
198,Who is the person I have spent most time with last year?,CA,QA,QA,so is the person i have friends most time was last year.,QA,QA,WHO HAS THE PERSON I HAVE FOUND MOST FAMILY LAST YEAR.,QA,QA,who is the person i have spent most time with last year.,QA,QA
199,Who is going to talk with me?,CA,QA,QA,so is dying to talk with me.,QA,QA,WHO IS GOING TO TALK WITH ME.,QA,QA,he was dying to talk with me.,QA,QA
